filename,width,height,class,xmin,ymin,xmax,ymax
00036.jpg,580,250,Deportivo,134,38,534,234
00037.jpg,640,425,Deportivo,26,81,626,360
00038.jpg,480,360,Automovil,16,88,462,324
00039.jpg,640,425,Deportivo,48,107,620,349
00040.jpg,750,469,Camioneta,216,111,663,402
00041.jpg,640,480,Automovil,58,54,568,424
00042.jpg,640,452,Carro,32,52,625,368
00043.jpg,596,417,Camioneta,5,48,596,372
00044.jpg,659,439,Deportivo,217,184,537,377
00045.jpg,500,375,Camioneta,7,107,494,290
00046.jpg,786,492,Automovil,25,80,760,461
00047.jpg,1600,1200,Carro,87,243,1096,886
00048.jpg,813,541,Carro,216,78,751,446
00049.jpg,1600,1067,Automovil,169,542,892,932
00050.jpg,580,407,Automovil,20,98,562,336
00051.jpg,640,480,Camioneta,40,180,608,464
00052.jpg,808,424,Camioneta,38,26,781,393
00053.jpg,500,375,Deportivo,156,191,426,302
00053.jpg,500,375,Automovil,43,175,228,255
00053.jpg,500,375,Camioneta,328,161,368,190
00053.jpg,500,375,Automovil,432,174,500,236
00053.jpg,500,375,Automovil,31,162,77,187
00053.jpg,500,375,Camioneta,217,166,246,187
00053.jpg,500,375,Automovil,247,166,284,191
00053.jpg,500,375,Automovil,3,163,31,183
00054.jpg,1600,1200,Deportivo,53,536,1542,1061
00055.jpg,620,433,Automovil,79,121,584,384
00056.jpg,500,315,Camioneta,32,48,475,266
00057.jpg,1200,498,Automovil,253,133,979,437
00058.jpg,260,194,Camioneta,9,34,255,167
00059.jpg,640,480,Camioneta,68,90,606,346
00059.jpg,640,480,Camioneta,1,96,157,278
00060.jpg,400,300,Camioneta,126,138,352,263
00060.jpg,400,300,Camioneta,18,136,116,196
00061.jpg,1023,764,Camioneta,15,105,1012,733
00062.jpg,450,280,Carro,22,30,421,258
00063.jpg,1032,774,Deportivo,169,338,931,639
00064.jpg,1024,768,Camioneta,90,45,944,709
00065.jpg,500,361,Deportivo,67,178,412,291
00066.jpg,259,194,Carro,24,35,234,127
00067.jpg,640,480,Camioneta,125,85,599,419
00067.jpg,640,480,Automovil,438,132,552,186
00067.jpg,640,480,Automovil,550,134,630,171
00067.jpg,640,480,Carro,80,126,101,146
00068.jpg,640,438,Camioneta,30,40,594,343
00069.jpg,800,533,Automovil,110,124,680,431
00070.jpg,1600,1200,Automovil,219,301,992,975
00071.jpg,643,305,Camioneta,9,16,638,300
00072.jpg,1280,850,Camioneta,59,265,1184,759
00073.jpg,320,240,Camioneta,14,11,319,223
00074.jpg,320,240,Camioneta,13,8,308,227
00075.jpg,550,286,Automovil,35,70,527,251
00076.jpg,300,187,Deportivo,9,24,287,163
00077.jpg,3552,2153,Camioneta,80,110,3492,2002
00078.jpg,640,480,Deportivo,27,84,616,414
00079.jpg,750,469,Camioneta,156,123,743,415
00080.jpg,300,224,Camioneta,19,19,290,212
00081.jpg,550,301,Deportivo,9,51,545,265
00082.jpg,640,480,Carro,63,107,599,398
00083.jpg,300,225,Carro,51,57,294,195
00084.jpg,640,480,Camioneta,38,76,612,446
00085.jpg,640,480,Automovil,21,79,631,377
00085.jpg,640,480,Camioneta,416,61,615,201
00086.jpg,1500,920,Camioneta,133,310,1416,860
00087.jpg,467,234,Automovil,16,32,454,202
00088.jpg,2592,1944,Automovil,200,226,2394,1658
00088.jpg,2592,1944,Camioneta,106,173,921,687
00088.jpg,2592,1944,Camioneta,18,202,344,417
00089.jpg,1024,768,Automovil,60,212,1000,530
00090.jpg,300,225,Camioneta,5,41,296,202
00091.jpg,640,480,Automovil,48,52,496,434
00091.jpg,640,480,Automovil,506,67,639,179
00091.jpg,640,480,Automovil,66,52,139,98
00091.jpg,640,480,Carro,355,52,411,107
00091.jpg,640,480,Carro,447,54,489,103
00092.jpg,600,338,Automovil,80,86,493,261
00093.jpg,275,183,Carro,17,50,260,143
00094.jpg,786,491,Deportivo,13,52,780,423
00095.jpg,1280,782,Camioneta,103,168,1244,702
00096.jpg,400,265,Deportivo,37,61,345,211
00096.jpg,400,265,Automovil,319,59,397,148
00097.jpg,78,58,Deportivo,3,10,78,47
00098.jpg,640,426,Automovil,48,37,580,363
00099.jpg,510,383,Camioneta,26,52,488,360
00100.jpg,480,360,Camioneta,24,183,452,347
00100.jpg,480,360,Camioneta,2,191,110,272
00100.jpg,480,360,Camioneta,440,210,478,265
00101.jpg,1024,768,Automovil,64,37,930,711
00101.jpg,1024,768,Automovil,120,5,272,73
00101.jpg,1024,768,Automovil,29,9,120,68
00101.jpg,1024,768,Camioneta,572,19,683,59
00101.jpg,1024,768,Camioneta,681,17,789,113
00101.jpg,1024,768,Camioneta,408,3,495,42
00102.jpg,480,360,Deportivo,95,126,399,230
00103.jpg,640,480,Automovil,86,103,604,376
00103.jpg,640,480,Camioneta,2,126,193,247
00104.jpg,480,360,Camioneta,3,74,478,281
00105.jpg,1024,768,Camioneta,60,267,972,640
00105.jpg,1024,768,Automovil,97,305,307,419
00106.jpg,300,225,Automovil,66,76,238,150
00106.jpg,300,225,Automovil,44,88,128,129
00106.jpg,300,225,Automovil,8,94,79,125
00106.jpg,300,225,Automovil,1,96,50,133
00107.jpg,276,182,Camioneta,20,13,255,163
00108.jpg,212,159,Camioneta,11,26,208,139
00109.jpg,259,194,Camioneta,12,13,252,176
00110.jpg,600,398,Deportivo,31,20,585,382
